id,name
1,"Sanjeev Saxena"
2,"Hans-Ulrich Simon"
3,"Nathan Goodman"
4,"Oded Shmueli"
5,"Norbert Blum"
6,"Arnold Schönhage"
7,"Juha Honkala"
8,"Chua-Huang Huang"
9,"Christian Lengauer"
10,"Alain Finkel"
11,"Annie Choquet"
12,"Joachim Biskup"
13,"Symeon Bozapalidis"
14,"Zoltán Fülöp 0001"
15,"George Rahonis"
16,"Victor Khomenko"
17,"Alex Kondratyev"
18,"Maciej Koutny"
19,"Walter Vogler"
20,"Wim H. Hesselink"
21,"Christian Ronse"
22,"Carol Critchlow"
23,"Prakash Panangaden"
24,"Robin Milner"
25,"John Darlington"
26,"Maria Calzarossa"
27,"M. Italiani"
28,"Giuseppe Serazzi"
29,"Vincent Vajnovszki"
30,"Christian Stahl"
31,"Richard Müller 0001"
32,"Luc Devroye"
33,"T. C. Hu"
34,"K. C. Tan"
35,"Patrick Cousot"
36,"Radhia Cousot"
37,"Isi Mitrani"
38,"J. H. Hine"
39,"Joseph M. Morris"
40,"Malcolm Tyrrell"
41,"Jürgen Nehmer"
42,"Walter J. Savitch"
43,"Karl Meinke"
44,"Joost Engelfriet"
45,"Linda Heyker"
46,"George Leih"
47,"Shyamal K. Chowdhury"
48,"Pradip K. Srimani"
49,"Ugo Montanari"
50,"Francesca Rossi"
51,"Peter E. Lauer"
52,"Piero R. Torrigiani"
53,"M. W. Shields"
54,"Rudolf Berghammer"
55,"David Pager"
56,"Peter Lipps"
57,"Ulrich Möncke"
58,"Matthias Olk"
59,"Reinhard Wilhelm"
60,"Sanguthevar Rajasekaran"
61,"Sandeep Sen"
62,"Richard Hull"
63,"Jianwen Su"
64,"John K. Lee"
65,"Alan Fekete"
66,"Teuvo Laurinolli"
67,"Gary T. Leavens"
68,"Don Pigozzi"
69,"Y. Daniel Liang"
70,"Maw-Shang Chang"
71,"Gilles Bernot"
72,"Michel Bidoit"
73,"Teodor Knapik"
74,"Jan A. Bergstra"
75,"C. A. Middelburg"
76,"Wlodzimierz Drabent"
77,"Mark Schäfer"
78,"Ralf Wollowski"
79,"Raphael A. Finkel"
80,"Jon Louis Bentley"
81,"Alfred Schmitt"
82,"Jacques Labetoulle"
83,"Guy Pujolle"
84,"Paul Pritchard"
85,"Robert T. Moenck"
86,"Philip Heidelberger"
87,"Siegfried Bublitz"
88,"Benedek Nagy"
89,"Friedrich Otto"
90,"Gheorghe Paun"
91,"P. F. Schuler"
92,"George W. Ernst"
93,"Günther E. Pfaff"
94,"Heiko Vogler"
95,"Stefan Reisch"
96,"Chen-Ming Fan"
97,"Cheng-Chih Huang"
98,"Huei-Jan Shyr"
99,"Kuo-Hsiang Chen"
100,"Linqiang Pan"
101,"Artiom Alhazov"
102,"Akhil Kumar 0001"
103,"Kavindra Malik"
104,"Serge Haddad"
105,"Denis Poitrenaud"
106,"Donald P. Gaver"
107,"George Humfeld"
108,"J.-P. Lévy"
109,"Stavros Konstantinidis"
110,"Nicolae Santean"
111,"Sheng Yu"
112,"Eike Best"
113,"Raymond R. Devillers"
114,"Astrid Kiehn"
115,"Lucia Pomello"
116,"Markus Büttner"
117,"Andrzej Ehrenfeucht"
118,"Hendrik Jan Hoogeboom"
119,"Grzegorz Rozenberg"
120,"Eric Lilin"
121,"Andreas Maletti"
122,"Andrzej Blikle"
123,"Fred Kröger"
124,"Zoltán Ésik"
125,"Michael Bertol"
126,"Rob van Stee"
127,"Johannes A. La Poutré"
128,"Carroll Morgan"
129,"Paul H. B. Gardiner"
130,"Ambuj K. Singh"
131,"Paul Caspi"
132,"Nicolas Halbwachs"
133,"Wojciech Fraczak"
134,"Richard P. Hopkins"
135,"Hanna Klaudel"
136,"Elisabeth Pelz"
137,"Wuu Yang"
138,"Kamilla Klonowska"
139,"Lars Lundberg"
140,"Håkan Lennerstad"
141,"Arnold L. Rosenberg"
142,"Zvi Galil"
143,"Volker Claus"
144,"Naoki Kobayashi 0001"
145,"Jean Berstel"
146,"B. Bartsch"
147,"Gunter Bolch"
148,"Jan Joris Vereijken"
149,"Teruo Hikita"
150,"Yuri Breitbart"
151,"Allen Reiter"
152,"Per Brinch Hansen"
153,"Karsten Schmidt 0004"
154,"Mogens Nielsen"
155,"Arto Salomaa"
156,"Sven Skyum"
157,"Antonios Kalampakas"
158,"Jörg Desel"
159,"Wolfgang Reisig"
160,"Wolfgang Merzenich"
161,"Eleni Mandrali"
162,"Dirk Janssens"
163,"Annabelle McIver"
164,"S. Arun-Kumar"
165,"Matthew Hennessy"
166,"Benedetto Intrigila"
167,"Stefano Varricchio"
168,"Ricardo A. Baeza-Yates"
169,"Emanuela Fachini"
170,"Angelo Monti"
171,"Margherita Napoli"
172,"Domenico Parente"
173,"Giuseppe Della Penna"
174,"Enrico Tronci"
175,"Marisa Venturini Zilli"
176,"Jan Janousek"
177,"Borivoj Melichar"
178,"Xinxin Liu"
179,"Mark H. Overmars"
180,"Michiel H. M. Smid"
181,"Mark de Berg"
182,"Marc J. van Kreveld"
183,"Michael Brand"
184,"Ralph-Johan Back"
185,"Joakim von Wright"
186,"Alexandre Brandwajn"
187,"Eric Badouel"
188,"Philippe Darondeau"
189,"Leonidas J. Guibas"
190,"Ralf Hartmut Güting"
191,"Clement H. C. Leung"
192,"Qui Hoon Choo"
193,"Stephan Heilbrunner"
194,"Steffen Hölldobler"
195,"Niklaus Wirth"
